Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,YYYY_MM
-123.742,48.935,CHEMAINUS,1011500,BC,20.2,0,NA,36,0,11,0,0,0,NA,5.7,0,NA,0,2,NA,NA,NA,10,78.6,2021_08
-124.052,48.829,LAKE COWICHAN,1012055,BC,16.2,20,-1.9,39,13,5,14,0,30,NA,5.8,27,NA,NA,3,NA,NA,NA,24.4,4.6,2021_08
-123.226,48.425,DISCOVERY ISLAND,1012475,BC,15.9,0,NA,28.3,0,9.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.4,8.5,2021_08
-123.439,48.432,ESQUIMALT HARBOUR,1012710,BC,16.8,0,NA,27.4,0,10,0,NA,NA,NA,5.2,0,NA,NA,1,NA,NA,NA,52.9,14.3,2021_08
-123.53,48.575,MALAHAT,1014820,BC,19.5,0,NA,37,0,9.8,0,NA,NA,NA,5.8,0,NA,NA,2,NA,NA,NA,29,75.9,2021_08
-123.561,48.374,METCHOSIN,1015105,BC,NA,NA,NA,NA,NA,NA,NA,0,22,NA,8.2,22,NA,NA,1,NA,NA,NA,NA,NA,2021_08
-123.718,48.824,NORTH COWICHAN,1015628,BC,NA,NA,NA,NA,NA,NA,NA,0,0,NA,4,0,13,0,1,NA,NA,NA,NA,NA,2021_08
-123.719,48.824,NORTH COWICHAN,1015630,BC,18.8,9,NA,33.1,9,7.1,9,NA,NA,NA,1.1,9,NA,NA,0,NA,NA,NA,16.5,34.3,2021_08
-123.287,48.764,NORTH PENDER ISLAND,1015638,BC,19.3,4,NA,36,4,1,4,0,4,NA,10.6,4,NA,0,2,NA,NA,NA,18,54,2021_08
-124.326,48.592,PORT RENFREW,1016335,BC,15.8,2,0.3,35,2,7.5,2,0,2,NA,35.8,2,NA,0,7,NA,NA,NA,75.3,12.1,2021_08
-123.531,48.298,RACE ROCKS,1016640,BC,15,0,NA,30.2,0,9.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.9,8.8,2021_08
-123.419,48.622,SAANICHTON CDA,1016940,BC,18.4,8,1.3,34,5,10,5,0,5,NA,6.4,5,NA,0,2,NA,NA,NA,14.1,23.8,2021_08
-123.419,48.622,SAANICHTON CFIA,1016943,BC,17.3,1,NA,32.7,1,9,1,NA,NA,NA,4.6,1,NA,NA,1,NA,NA,NA,39.5,17.7,2021_08
-123.427,48.598,SAANICHTON MT NEWTON,1016RM0,BC,NA,NA,NA,NA,NA,NA,NA,0,0,NA,5.6,0,21,0,2,NA,NA,NA,NA,NA,2021_08
-123.128,48.775,SATURNA CAPMON CS,1017099,BC,18.2,0,NA,32.5,0,10.3,0,NA,NA,NA,16.4,0,NA,NA,4,NA,NA,NA,37.3,42,2021_08
-123.045,48.784,SATURNA ISLAND CS,1017101,BC,17.9,0,NA,27.3,0,11.8,0,NA,NA,NA,18,0,NA,NA,4,NA,NA,NA,29.1,26.3,2021_08
-123.626,48.647,SHAWNIGAN LAKE,1017230,BC,19.5,0,1.6,37.5,0,9,0,0,0,NA,4.2,0,15,0,2,NA,NA,NA,17.7,63.1,2021_08
-123.921,48.377,SHERINGHAM POINT,1017254,BC,14.1,0,NA,30.9,0,8.4,0,NA,NA,NA,9.8,0,NA,NA,1,NA,NA,NA,125.1,4.7,2021_08
-123.305,48.457,VICTORIA UNIVERSITY CS,1018598,BC,18,0,NA,34.2,0,8.7,0,NA,NA,NA,4.7,0,NA,NA,2,NA,NA,NA,31.9,31,2021_08
-123.325,48.413,VICTORIA GONZALES CS,1018611,BC,16.8,0,NA,29.8,0,9.6,0,NA,NA,NA,6.8,0,NA,NA,2,NA,NA,NA,54.4,17.8,2021_08
-123.426,48.647,VICTORIA INTL A,1018621,BC,17.9,2,NA,35.5,2,9.2,2,0,0,NA,7,0,NA,NA,2,NA,NA,NA,29,24.9,2021_08
-123.388,48.423,VICTORIA HARBOUR A,1018633,BC,16.5,0,NA,26.4,0,10.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,8.8,2021_08
-124.16,49.35,BALLENAS ISLAND,1020590,BC,19.3,0,NA,28.6,0,13.7,0,NA,NA,NA,6.6,0,NA,NA,2,NA,NA,NA,9.1,50.2,2021_08
-125.273,49.952,CAMPBELL RIVER A,1021261,BC,18.3,0,1.1,37.5,0,4,0,0,0,NA,18.9,0,42,0,4,NA,NA,NA,45.2,54.2,2021_08
