NAPS ID	Province	City	Year	Year_lag	Latitude	Longitude	Elevation	Pollutant	variable	value	Year_beeyear_lag	seasons	mean_spring	mean_summer	mean_fall	mean_winter	test	mean_value
090120	AB	Edmonton	2014	2015	53.500221252441406	-113.5260544	681	CO	January	0.18	2014	Winter	NA	NA	NA	0.23166666666666666	2014_AB_CO	0.23166666666666666
090120	AB	Edmonton	2014	2015	53.500221252441406	-113.5260544	681	NO	January	6	2014	Winter	NA	NA	NA	6.094594594594595	2014_AB_NO	6.094594594594595
090120	AB	Edmonton	2014	2015	53.500221252441406	-113.5260544	681	NO2	January	15	2014	Winter	NA	NA	NA	11.41891891891892	2014_AB_NO2	11.41891891891892
090120	AB	Edmonton	2014	2015	53.500221252441406	-113.5260544	681	NOX	January	21	2014	Winter	NA	NA	NA	17.45945945945946	2014_AB_NOX	17.45945945945946
090120	AB	Edmonton	2014	2015	53.500221252441406	-113.5260544	681	O3	January	23	2014	Winter	NA	NA	NA	25.348484848484848	2014_AB_O3	25.348484848484848
090120	AB	Edmonton	2014	2015	53.500221252441406	-113.5260544	681	PM10	January	7	2014	Winter	NA	NA	NA	10.25	2014_AB_PM10	10.25
090120	AB	Edmonton	2014	2015	53.500221252441406	-113.5260544	681	PM2.5	January	3	2014	Winter	NA	NA	NA	5.902777777777778	2014_AB_PM2.5	5.902777777777778
090120	AB	Edmonton	2014	2015	53.500221252441406	-113.5260544	681	SO2	January	1	2014	Winter	NA	NA	NA	0.9493827160493827	2014_AB_SO2	0.9493827160493827
100110	BC	Metro Van - Burnaby	2014	2015	49.279212951660156	-122.9707108	104	CO	January	0.28	2014	Winter	NA	NA	NA	0.24522727272727274	2014_BC_CO	0.24522727272727274
100110	BC	Metro Van - Burnaby	2014	2015	49.279212951660156	-122.9707108	104	NO	January	25	2014	Winter	NA	NA	NA	11.432432432432432	2014_BC_NO	11.432432432432432
100110	BC	Metro Van - Burnaby	2014	2015	49.279212951660156	-122.9707108	104	NO2	January	15	2014	Winter	NA	NA	NA	11.297297297297296	2014_BC_NO2	11.297297297297296
100110	BC	Metro Van - Burnaby	2014	2015	49.279212951660156	-122.9707108	104	NOX	January	40	2014	Winter	NA	NA	NA	27.84090909090909	2014_BC_NOX	27.84090909090909
100110	BC	Metro Van - Burnaby	2014	2015	49.279212951660156	-122.9707108	104	O3	January	7	2014	Winter	NA	NA	NA	18.076923076923077	2014_BC_O3	18.076923076923077
100110	BC	Metro Van - Burnaby	2014	2015	49.279212951660156	-122.9707108	104	PM10	January	8	2014	Winter	NA	NA	NA	11.807692307692308	2014_BC_PM10	11.807692307692308
100110	BC	Metro Van - Burnaby	2014	2015	49.279212951660156	-122.9707108	104	PM2.5	January	6	2014	Winter	NA	NA	NA	7.666666666666667	2014_BC_PM2.5	7.666666666666667
100110	BC	Metro Van - Burnaby	2014	2015	49.279212951660156	-122.9707108	104	SO2	January	0.9	2014	Winter	NA	NA	NA	1.6897727272727272	2014_BC_SO2	1.6897727272727272
040601	Blissville - Sunbury County	Blissville - Sunbury County	2014	2015	45.60542678833008	-66.55950165	9	O3	January	25	2014	Winter	NA	NA	NA	27	2014_Blissville - Sunbury County_O3	27
093301	Cremona	Cremona	2014	2015	51.54370117	-114.3610001	1045	SO2	January	0.5	2014	Winter	NA	NA	NA	0.45	2014_Cremona_SO2	0.45
040801	Dow Settlement	Dow Settlement	2014	2015	45.950069427490234	-67.47773743	153	O3	January	28	2014	Winter	NA	NA	NA	30.5	2014_Dow Settlement_O3	30.5
040801	Dow Settlement	Dow Settlement	2014	2015	45.950069427490234	-67.47773743	153	PM2.5	January	3	2014	Winter	NA	NA	NA	3.5	2014_Dow Settlement_PM2.5	3.5
092501	Jarvie	Jarvie	2014	2015	54.45777893066406	-114.0306015	907	PM2.5	January	7	2014	Winter	NA	NA	NA	11.5	2014_Jarvie_PM2.5	11.5
070118	MB	Winnipeg	2014	2015	49.932071685791016	-97.11316681	227	CO	January	0.16	2014	Winter	NA	NA	NA	0.22749999999999998	2014_MB_CO	0.22749999999999998
070118	MB	Winnipeg	2014	2015	49.932071685791016	-97.11316681	227	NO	January	5	2014	Winter	NA	NA	NA	5.166666666666667	2014_MB_NO	5.166666666666667
070118	MB	Winnipeg	2014	2015	49.932071685791016	-97.11316681	227	NO2	January	10	2014	Winter	NA	NA	NA	8.666666666666666	2014_MB_NO2	8.666666666666666
070118	MB	Winnipeg	2014	2015	49.932071685791016	-97.11316681	227	NOX	January	15	2014	Winter	NA	NA	NA	13.833333333333334	2014_MB_NOX	13.833333333333334
070118	MB	Winnipeg	2014	2015	49.932071685791016	-97.11316681	227	O3	January	26	2014	Winter	NA	NA	NA	27.6	2014_MB_O3	27.6
070118	MB	Winnipeg	2014	2015	49.932071685791016	-97.11316681	227	PM10	January	3	2014	Winter	NA	NA	NA	4.2	2014_MB_PM10	4.2
070118	MB	Winnipeg	2014	2015	49.932071685791016	-97.11316681	227	PM2.5	January	4	2014	Winter	NA	NA	NA	3.9	2014_MB_PM2.5	3.9
070118	MB	Winnipeg	2014	2015	49.932071685791016	-97.11316681	227	SO2	January	0.3	2014	Winter	NA	NA	NA	0.5625	2014_MB_SO2	0.5625
065701	Morrisburg	Morrisburg	2014	2015	44.899749755859375	-75.18994141	69	O3	January	28	2014	Winter	NA	NA	NA	30.5	2014_Morrisburg_O3	30.5
065701	Morrisburg	Morrisburg	2014	2015	44.899749755859375	-75.18994141	69	PM2.5	January	8	2014	Winter	NA	NA	NA	8.5	2014_Morrisburg_PM2.5	8.5
040103	NB	Fredericton	2014	2015	45.95731735229492	-66.64672089	21	CO	January	0.28	2014	Winter	NA	NA	NA	0.24	2014_NB_CO	0.24
040103	NB	Fredericton	2014	2015	45.95731735229492	-66.64672089	21	NO	January	2	2014	Winter	NA	NA	NA	2.142857142857143	2014_NB_NO	2.142857142857143
040103	NB	Fredericton	2014	2015	45.95731735229492	-66.64672089	21	NO2	January	6	2014	Winter	NA	NA	NA	5.928571428571429	2014_NB_NO2	5.928571428571429
040103	NB	Fredericton	2014	2015	45.95731735229492	-66.64672089	21	NOX	January	8	2014	Winter	NA	NA	NA	7.5	2014_NB_NOX	7.5
040103	NB	Fredericton	2014	2015	45.95731735229492	-66.64672089	21	O3	January	26	2014	Winter	NA	NA	NA	30	2014_NB_O3	30
040103	NB	Fredericton	2014	2015	45.95731735229492	-66.64672089	21	PM2.5	January	7	2014	Winter	NA	NA	NA	7.125	2014_NB_PM2.5	7.125
040203	NB	Saint John	2014	2015	45.30876159667969	-66.0083847	41	SO2	January	0.8	2014	Winter	NA	NA	NA	0.875	2014_NB_SO2	0.875
010102	NL	St. John's	2014	2015	47.56037902832031	-52.71147156	7	CO	January	0.2	2014	Winter	NA	NA	NA	0.19444444444444445	2014_NL_CO	0.19444444444444445
010102	NL	St. John's	2014	2015	47.56037902832031	-52.71147156	7	NO	January	4	2014	Winter	NA	NA	NA	3.3636363636363638	2014_NL_NO	3.3636363636363638
010102	NL	St. John's	2014	2015	47.56037902832031	-52.71147156	7	NO2	January	6	2014	Winter	NA	NA	NA	2.3636363636363638	2014_NL_NO2	2.3636363636363638
010102	NL	St. John's	2014	2015	47.56037902832031	-52.71147156	7	NOX	January	10	2014	Winter	NA	NA	NA	5.818181818181818	2014_NL_NOX	5.818181818181818
010102	NL	St. John's	2014	2015	47.56037902832031	-52.71147156	7	O3	January	30	2014	Winter	NA	NA	NA	32.46666666666667	2014_NL_O3	32.46666666666667
010901	NL	Burin	2014	2015	47.09899139404297	-55.19852066	1	PM10	January	13	2014	Winter	NA	NA	NA	12.5	2014_NL_PM10	12.5
010102	NL	St. John's	2014	2015	47.56037902832031	-52.71147156	7	PM2.5	January	3	2014	Winter	NA	NA	NA	5.7272727272727275	2014_NL_PM2.5	5.7272727272727275
010102	NL	St. John's	2014	2015	47.56037902832031	-52.71147156	7	SO2	January	0.6	2014	Winter	NA	NA	NA	0.4666666666666667	2014_NL_SO2	0.4666666666666667
030118	NS	Halifax	2014	2015	44.64642333984375	-63.57338333	18	CO	January	0.28	2014	Winter	NA	NA	NA	0.23500000000000001	2014_NS_CO	0.23500000000000001
030118	NS	Halifax	2014	2015	44.64642333984375	-63.57338333	18	NO	January	9	2014	Winter	NA	NA	NA	2.75	2014_NS_NO	2.75
030118	NS	Halifax	2014	2015	44.64642333984375	-63.57338333	18	NO2	January	11	2014	Winter	NA	NA	NA	4.5	2014_NS_NO2	4.5
030118	NS	Halifax	2014	2015	44.64642333984375	-63.57338333	18	NOX	January	20	2014	Winter	NA	NA	NA	7.416666666666667	2014_NS_NOX	7.416666666666667
030118	NS	Halifax	2014	2015	44.64642333984375	-63.57338333	18	O3	January	25	2014	Winter	NA	NA	NA	30.928571428571427	2014_NS_O3	30.928571428571427
030113	NS	Halifax	2014	2015	44.64710998535156	-63.5736618	28	PM2.5	January	5	2014	Winter	NA	NA	NA	7.5	2014_NS_PM2.5	7.5
030118	NS	Halifax	2014	2015	44.64642333984375	-63.57338333	18	SO2	January	1.5	2014	Winter	NA	NA	NA	1.225	2014_NS_SO2	1.225
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	CO	January	0.18	2014	Winter	NA	NA	NA	0.125	2014_NT_CO	0.125
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	NO	January	3	2014	Winter	NA	NA	NA	2	2014_NT_NO	2
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	NO2	January	5	2014	Winter	NA	NA	NA	4.333333333333333	2014_NT_NO2	4.333333333333333
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	NOX	January	7	2014	Winter	NA	NA	NA	6	2014_NT_NOX	6
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	O3	January	28	2014	Winter	NA	NA	NA	27.5	2014_NT_O3	27.5
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	PM10	January	5	2014	Winter	NA	NA	NA	6.666666666666667	2014_NT_PM10	6.666666666666667
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	PM2.5	January	4	2014	Winter	NA	NA	NA	4	2014_NT_PM2.5	4
129003	NT	Yellowknife	2014	2015	62.45206832885742	-114.3639984	193	SO2	January	0	2014	Winter	NA	NA	NA	0.26666666666666666	2014_NT_SO2	0.26666666666666666
129303	NU	Iqaluit	2014	2015	63.751617431640625	-68.52243042	35	NO	January	5	2014	Winter	NA	NA	NA	5	2014_NU_NO	5
129303	NU	Iqaluit	2014	2015	63.751617431640625	-68.52243042	35	NO2	January	7	2014	Winter	NA	NA	NA	7	2014_NU_NO2	7
129303	NU	Iqaluit	2014	2015	63.751617431640625	-68.52243042	35	NOX	January	12	2014	Winter	NA	NA	NA	12	2014_NU_NOX	12
129303	NU	Iqaluit	2014	2015	63.751617431640625	-68.52243042	35	O3	January	NA	2014	Winter	NA	NA	NA	NA	2014_NU_O3	NA
129303	NU	Iqaluit	2014	2015	63.751617431640625	-68.52243042	35	PM2.5	January	7	2014	Winter	NA	NA	NA	8.5	2014_NU_PM2.5	8.5
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	CO	January	0.24	2014	Winter	NA	NA	NA	0.29125	2014_ON_CO	0.29125
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	NO	January	3	2014	Winter	NA	NA	NA	5.078947368421052	2014_ON_NO	5.078947368421052
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	NO2	January	13	2014	Winter	NA	NA	NA	12.592105263157896	2014_ON_NO2	12.592105263157896
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	NOX	January	16	2014	Winter	NA	NA	NA	17.57894736842105	2014_ON_NOX	17.57894736842105
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	O3	January	22	2014	Winter	NA	NA	NA	27.75	2014_ON_O3	27.75
060610	ON	Sudbury	2014	2015	46.491939544677734	-81.00311279	271	PM10	January	12	2014	Winter	NA	NA	NA	12	2014_ON_PM10	12
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	PM2.5	January	9	2014	Winter	NA	NA	NA	10.024390243902438	2014_ON_PM2.5	10.024390243902438
060104	ON	Ottawa	2014	2015	45.434329986572266	-75.6760025	68	SO2	January	0.3	2014	Winter	NA	NA	NA	2.7423076923076923	2014_ON_SO2	2.7423076923076923
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	NO	January	0	2014	Winter	NA	NA	NA	0.16666666666666666	2014_PE_NO	0.16666666666666666
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	NO2	January	3	2014	Winter	NA	NA	NA	1.8333333333333333	2014_PE_NO2	1.8333333333333333
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	NOX	January	3	2014	Winter	NA	NA	NA	2	2014_PE_NOX	2
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	O3	January	32	2014	Winter	NA	NA	NA	33.666666666666664	2014_PE_O3	33.666666666666664
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	PM2.5	January	7	2014	Winter	NA	NA	NA	6	2014_PE_PM2.5	6
020104	PE	Charlottetown	2014	2015	46.233001708984375	-63.13666916	21	SO2	January	1.5	2014	Winter	NA	NA	NA	1.65	2014_PE_SO2	1.65
093501	Pine Lake	Pine Lake	2014	2015	52.124900817871094	-113.4921036	884	O3	January	NA	2014	Winter	NA	NA	NA	NA	2014_Pine Lake_O3	NA
093501	Pine Lake	Pine Lake	2014	2015	52.124900817871094	-113.4921036	884	SO2	January	NA	2014	Winter	NA	NA	NA	2.7	2014_Pine Lake_SO2	2.7
050109	QC	Montréal	2014	2015	45.502647399902344	-73.66390991	41	CO	January	0.35	2014	Winter	NA	NA	NA	0.281	2014_QC_CO	0.281
050103	QC	Montréal	2014	2015	45.64102554321289	-73.49967957	19	NO	January	4	2014	Winter	NA	NA	NA	5.742857142857143	2014_QC_NO	5.742857142857143
050103	QC	Montréal	2014	2015	45.64102554321289	-73.49967957	19	NO2	January	13	2014	Winter	NA	NA	NA	12.857142857142858	2014_QC_NO2	12.857142857142858
041101	QC	St. Leonard	2014	2015	47.15762710571289	-67.83101654	239	O3	January	29	2014	Winter	NA	NA	NA	29	2014_QC_O3	29
